"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Setmore Service Legacy","","Setmore Service Legacy","Calender page select date","Calender page select date",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Setmore Service Legacy","","Setmore Service Legacy","Create Service","Create Service",""
"broken","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:35:30 IST 2022","36353","","Setmore Service Legacy","","Setmore Service Legacy","Service page URL","Service page URL",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Setmore Class Legacy","","Setmore Class Legacy","Create Class","Create Class",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Customer page","","Customer page","Creating multiple customers","Creating multiple customers",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Customer page","","Customer page","Create customer","Create customer",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Setmore Service Legacy","","Setmore Service Legacy","Create appointment with booking page","Create appointment with booking page",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","0","","Setmore Service Legacy","","Setmore Service Legacy","Creating Multiple Service","Creating Multiple Service",""
"skipped","Mon Aug 15 22:34:53 IST 2022","Mon Aug 15 22:34:53 IST 2022","1","","Setmore Service Legacy","","Setmore Service Legacy","Create appointment from calender page","Create appointment from calender page",""
"skipped","Mon Aug 15 22:34:55 IST 2022","Mon Aug 15 22:34:55 IST 2022","0","","Setmore Staff Legacy","","Setmore Staff Legacy","Create Staff","Create Staff",""
"skipped","Mon Aug 15 22:34:55 IST 2022","Mon Aug 15 22:34:55 IST 2022","0","","Setmore Staff Legacy","","Setmore Staff Legacy","Delete Staff","Delete Staff",""
"skipped","Mon Aug 15 22:34:55 IST 2022","Mon Aug 15 22:34:55 IST 2022","0","","Setmore Legacy Login","","Setmore Legacy Login","sign up with setmore","sign up with setmore",""
